Player_Name,TeamName_bat,Matches_bat,TotalRuns,Balls,Dotballs,StrikeRate_bat,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year,TeamName_bowl,Matches_bowl,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate_bowl,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Team Name,Price,Price_Cr
Akash Madhwal,Mumbai Indians,5.0,4.0,5.0,2.0,80.0,0.0,0.0,0.0,1.0,-,0.0,0.0,4*,2024,Mumbai Indians,5.0,205.0,36.0,83.0,41.0,21.8,71.21,3.4,11.28,18.1,8.0,2.0,5.0,0.0,0.0,0.0,,Mumbai Indians,0.2 crore,0.2
Akash Madhwal,Rajasthan Royals,4.0,4.0,9.0,5.0,44.44,0.0,0.0,0.0,1.0,-,0.0,0.0,4*,2025,Rajasthan Royals,4.0,166.0,23.0,74.0,41.5,22.5,66.26,3.75,11.06,15.0,7.0,0.0,4.0,0.0,0.0,0.0,,Rajasthan Royals,1.2 crore,1.2
Akeal Hosein,Sunrisers Hyderabad,1.0,16.0,10.0,3.0,160.0,1.0,1.0,0.0,1.0,-,0.0,0.0,16*,2023,Sunrisers Hyderabad,1.0,40.0,6.0,18.0,40.0,24.0,70.0,4.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,Sunrisers Hyderabad,1 crore,1.0
Alex Carey,Delhi Capitals,3.0,32.0,29.0,,110.34,0.0,1.0,2.0,1.0,16.0,0.0,0.0,14*,2020,,,,,,,,,,,,,,,,,,,Delhi Capitals,2.4 crore,2.4
Alzarri Joseph,Gujarat Titans,9.0,5.0,7.0,2.0,71.42,0.0,0.0,1.0,2.0,5.00,0.0,0.0,4*,2022,Gujarat Titans,9.0,264.0,72.0,113.0,37.71,25.71,65.9,4.86,8.8,30.0,4.0,1.0,7.0,0.0,0.0,0.0,,Gujarat Titans,2.4,2.4
Aman Khan,Kolkata Knight Riders,1.0,5.0,3.0,1.0,166.66,1.0,0.0,1.0,0.0,5.00,0.0,0.0,5,2022,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,0.2,0.2
Ambati Rayudu,Chennai Super Kings,13.0,274.0,224.0,103.0,122.32,25.0,15.0,11.0,0.0,24.91,1.0,0.0,78,2022,,,,,,,,,,,,,,,,,,,Chennai Super Kings,6.75,6.75
Angkrish Raghuvanshi,Kolkata Knight Riders,10.0,163.0,105.0,34.0,155.23,16.0,8.0,7.0,0.0,23.29,1.0,0.0,54,2024,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,0.2 crore,0.2
Angkrish Raghuvanshi,Kolkata Knight Riders,12.0,300.0,215.0,59.0,139.53,30.0,8.0,9.0,2.0,33.33,1.0,0.0,50,2025,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,3 crore,3.0
Anmolpreet Singh,Mumbai Indians,2.0,13.0,13.0,5.0,100.0,1.0,0.0,2.0,0.0,6.50,0.0,0.0,8,2022,,,,,,,,,,,,,,,,,,,Mumbai Indians,0.2,0.2
