StrikerName,TeamName,Matches,TotalRuns,Balls,Dotballs,StrikeRate,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year
Corbin Bosch,Mumbai Indians,2,47,32,12.0,146.87,3,3,2,0,23.50,0,0,27,2025
Ramandeep Singh,Kolkata Knight Riders,11,47,35,12.0,134.28,1,4,5,2,9.40,0,0,22,2025
Rashid Khan,Gujarat Titans,15,40,28,13.0,142.85,2,3,5,3,8.00,0,0,12,2025
Mitchell Santner,Mumbai Indians,13,40,33,15.0,121.21,2,3,2,6,20.00,0,0,18*,2025
Deepak Chahar,Mumbai Indians,14,37,25,9.0,148.0,3,2,1,3,37.00,0,0,28*,2025
Ravichandran Ashwin,Chennai Super Kings,9,33,30,13.0,110.0,3,1,4,0,8.25,0,0,13,2025
Deepak Hooda,Chennai Super Kings,7,31,41,24.0,75.6,2,1,5,0,6.20,0,0,22,2025
Mohd Arshad Khan,Gujarat Titans,9,23,19,11.0,121.05,0,3,2,3,11.50,0,0,20,2025
Sediqullah Atal,Delhi Capitals,1,22,16,6.0,137.5,0,2,1,0,22.00,0,0,22,2025
Avesh Khan,Lucknow Super Giants,13,21,12,6.0,175.0,3,1,1,3,21.00,0,0,19*,2025
Harshal Patel,Sunrisers Hyderabad,13,21,26,7.0,80.76,0,0,2,2,10.50,0,0,12*,2025
Kusal Mendis,Gujarat Titans,1,20,10,4.0,200.0,1,2,1,0,20.00,0,0,20,2025
Shardul Thakur,Lucknow Super Giants,10,18,12,5.0,150.0,3,0,3,2,6.00,0,0,6,2025
Kuldeep Yadav,Delhi Capitals,14,18,16,6.0,112.5,2,0,3,2,6.00,0,0,7,2025
Gerald Coetzee,Gujarat Titans,4,17,11,5.0,154.54,2,1,2,0,8.50,0,0,12,2025
Jamie Overton,Chennai Super Kings,3,15,7,2.0,214.28,1,1,0,2,-,0,0,11*,2025
Anshul Kamboj,Chennai Super Kings,8,14,12,6.0,116.66,2,0,2,3,7.00,0,0,5*,2025
Matthew Breetzke,Lucknow Super Giants,1,14,12,7.0,116.66,1,1,1,0,14.00,0,0,14,2025
Atharva Taide,Sunrisers Hyderabad,1,13,9,5.0,144.44,3,0,1,0,13.00,0,0,13,2025
Ravi Bishnoi,Lucknow Super Giants,11,13,16,13.0,81.25,0,2,2,1,6.50,0,0,13,2025
Bhuvneshwar Kumar,Royal Challengers Bengaluru,13,13,23,15.0,56.52,1,0,2,3,6.50,0,0,8,2025
Harpreet Brar,Punjab Kings,8,11,13,8.0,84.61,0,1,1,1,11.00,0,0,7*,2025
Xavier Bartlett,Punjab Kings,4,11,15,7.0,73.33,1,0,1,0,11.00,0,0,11,2025
Mohammad Shami,Sunrisers Hyderabad,9,10,10,4.0,100.0,1,0,1,3,10.00,0,0,6*,2025
Dushmantha Chameera,Delhi Capitals,6,10,14,4.0,71.42,0,0,0,3,-,0,0,8*,2025
Maheesh Theekshana,Rajasthan Royals,11,10,27,17.0,37.03,0,0,2,2,5.00,0,0,5,2025
Kagiso Rabada,Gujarat Titans,4,9,8,4.0,112.5,0,1,1,1,9.00,0,0,7*,2025
Shahbaz Ahmed,Lucknow Super Giants,3,9,8,2.0,112.5,1,0,1,0,9.00,0,0,9,2025
Wiaan Mulder,Sunrisers Hyderabad,1,9,11,5.0,81.81,1,0,1,0,9.00,0,0,9,2025
Wanindu Hasaranga,Rajasthan Royals,11,9,15,8.0,60.0,0,0,5,0,1.80,0,0,4,2025
Kwena Maphaka,Rajasthan Royals,2,8,2,0.0,400.0,2,0,0,1,-,0,0,8*,2025
Raj Angad Bawa,Mumbai Indians,3,8,4,0.0,200.0,0,0,0,1,-,0,0,8*,2025
Tushar Deshpande,Rajasthan Royals,10,7,8,3.0,87.5,0,0,1,3,7.00,0,0,3,2025
Suryansh Shedge,Punjab Kings,5,7,11,5.0,63.63,0,0,3,0,2.33,0,0,4,2025
Noor Ahmad,Chennai Super Kings,14,7,17,12.0,41.17,0,0,4,2,1.75,0,0,2*,2025
Akash Deep,Lucknow Super Giants,6,6,2,1.0,300.0,0,1,1,1,6.00,0,0,6*,2025
Sandeep Sharma,Rajasthan Royals,10,6,5,0.0,120.0,0,0,0,1,-,0,0,6*,2025
Mitchell Starc,Delhi Capitals,11,6,10,4.0,60.0,0,0,2,4,3.00,0,0,2*,2025
Robin Minz,Mumbai Indians,2,6,15,10.0,40.0,0,0,2,0,3.00,0,0,3,2025
Rovman Powell,Kolkata Knight Riders,2,5,5,3.0,100.0,1,0,1,0,5.00,0,0,5,2025
Sai Kishore,Gujarat Titans,15,5,10,5.0,50.0,0,0,3,0,1.67,0,0,3,2025
Prince Yadav,Lucknow Super Giants,6,5,10,5.0,50.0,0,0,0,2,-,0,0,4*,2025
Moeen Ali,Kolkata Knight Riders,6,5,14,9.0,35.71,0,0,2,0,2.50,0,0,5,2025
Lockie Ferguson,Punjab Kings,4,4,1,0.0,400.0,1,0,0,1,-,0,0,4*,2025
Akash Madhwal,Rajasthan Royals,4,4,9,5.0,44.44,0,0,0,1,-,0,0,4*,2025
Madhav Tiwari,Delhi Capitals,1,3,4,2.0,75.0,0,0,1,0,3.00,0,0,3,2025
Mohammed Siraj,Gujarat Titans,15,3,4,2.0,75.0,0,0,0,1,-,0,0,3*,2025
Kumar Kartikeya Singh,Rajasthan Royals,4,3,5,3.0,60.0,0,0,2,0,1.50,0,0,2,2025
Yash Dayal,Royal Challengers Bengaluru,14,3,7,5.0,42.85,0,0,2,0,1.50,0,0,3,2025
Simarjeet Singh,Sunrisers Hyderabad,4,3,7,4.0,42.85,0,0,2,1,1.50,0,0,3*,2025
Fazalhaq Farooqi,Rajasthan Royals,5,2,2,0.0,100.0,0,0,0,1,-,0,0,2*,2025
Trent Boult,Mumbai Indians,16,2,3,1.0,66.66,0,0,1,1,2.00,0,0,1*,2025
Spencer Johnson,Kolkata Knight Riders,4,2,4,2.0,50.0,0,0,0,2,-,0,0,1*,2025
Arshdeep Singh,Punjab Kings,16,2,6,4.0,33.33,0,0,1,1,2.00,0,0,1*,2025
Varun Chakaravarthy,Kolkata Knight Riders,13,1,1,0.0,100.0,0,0,0,1,-,0,0,1*,2025
V Satyanarayana Penmetsa,Mumbai Indians,2,1,1,0.0,100.0,0,0,0,1,-,0,0,1*,2025
Karn Sharma,Mumbai Indians,6,1,1,0.0,100.0,0,0,0,1,-,0,0,1*,2025
Khaleel Ahmed,Chennai Super Kings,14,1,2,1.0,50.0,0,0,0,2,-,0,0,1*,2025
Mohit Sharma,Delhi Capitals,8,1,3,2.0,33.33,0,0,1,1,1.00,0,0,1*,2025
Donovan Ferreira,Delhi Capitals,1,1,3,2.0,33.33,0,0,1,0,1.00,0,0,1,2025
Digvesh Singh,Lucknow Super Giants,13,1,3,2.0,33.33,0,0,1,1,1.00,0,0,1,2025
Manoj Bhandage,Royal Challengers Bengaluru,1,1,4,3.0,25.0,0,0,1,0,1.00,0,0,1,2025
