BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,Year,InningsRuns,ClientPlayerID
Shardul Thakur,,,CSK,Chennai Super Kings,16,,16,,105,,527,137,,,25.09,17.09,17.09,,,8.8,60.0,,,,0,0,,,,,21,,,,3/19,3/19,1,,0,0,,0.0,2021,,
Mohammad Shami,,,PBKS,Punjab Kings,14,,14,,47,,395,145,,,20.78,16.63,16.63,,,7.5,52.0,,,,0,0,,,,,19,,,,3/15,3/15,1,,0,0,,0.0,2021,,
Rashid Khan,,,SRH,Sunrisers Hyderabad,14,,14,,218,,375,130,,,20.83,18.66,18.66,,,6.69,56.0,,,,9,2,,,,,18,,,,3/19,3/19,0,,0,0,,0.0,2021,,
Arshdeep Singh,,,PBKS,Punjab Kings,12,,12,,125,,342,88,,,19.0,13.77,13.77,,,8.27,41.0,,,,0,0,,,,,18,,,,5/32,5/32,0,,0,1,,0.0,2021,,
Varun Chakaravarthy,,,KKR,Kolkata Knight Riders,17,,17,,140,,448,149,,,24.88,22.66,22.66,,,6.58,68.0,,,,0,0,,,,,18,,,,5/20,5/20,0,,0,0,,0.0,2021,,
Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,15,,15,,10,,374,127,,,20.77,17.66,17.66,,,7.05,53.0,,,,0,0,,,,,18,,,,4/25,4/25,1,,0,0,,0.0,2021,,
Jason Holder,,,SRH,Sunrisers Hyderabad,8,,8,,263,,247,75,,,15.43,11.93,11.93,,,7.75,32.0,,,,2,6,,,,,16,,,,4/52,4/52,0,,1,0,,0.0,2021,,
Sunil Narine,,,KKR,Kolkata Knight Riders,14,,14,,156,,361,131,,,22.56,21.0,21.0,,,6.44,56.0,,,,3,5,,,,,16,,,,5/19,5/19,0,,1,0,,0.0,2021,,
Chris Morris,,,RR,Rajasthan Royals,11,,11,,112,,376,91,,,25.06,16.4,16.4,,,9.17,41.0,,,,2,5,,,,,15,,,,4/23,4/23,0,,1,0,,0.0,2021,,
Axar Patel,,,DC,Delhi Capitals,12,,12,,110,,306,99,,,20.4,18.4,18.4,,,6.65,46.0,,,,2,1,,,,,15,,,,4/21,4/21,0,,0,0,,0.0,2021,,
Kagiso Rabada,,,DC,Delhi Capitals,15,,15,,116,,456,135,,,30.4,22.4,22.4,,,8.14,56.0,,,,2,0,,,,,15,,,,4/21,4/21,1,,0,0,,0.0,2021,,
Chetan Sakariya,,,RR,Rajasthan Royals,14,,14,,592,,426,113,,,30.42,22.28,22.28,,,8.19,52.0,,,,2,0,,,,,14,,,,3/31,3/31,1,,0,0,,0.0,2021,,
Deepak Chahar,,,CSK,Chennai Super Kings,15,,15,,91,,451,132,,,32.21,23.14,23.14,,,8.35,54.0,,,,0,0,,,,,14,,,,4/13,4/13,1,,2,0,,0.0,2021,,
Dwayne Bravo,,,CSK,Chennai Super Kings,11,,11,,93,,263,73,,,18.78,14.42,14.42,,,7.81,33.0,,,,3,4,,,,,14,,,,4/22,4/22,0,,0,0,,0.0,2021,,
Mustafizur Rahman,,,RR,Rajasthan Royals,14,,14,,258,,436,113,,,31.14,22.21,22.21,,,8.41,52.0,,,,0,1,,,,,14,,,,3/16,3/16,0,,0,0,,0.0,2021,,
Ravindra Jadeja,,,CSK,Chennai Super Kings,16,,16,,46,,346,104,,,26.61,22.61,22.61,,,7.06,49.0,,,,19,9,,,,,13,,,,5/16,5/16,1,,0,0,,0.0,2021,,
Lockie Ferguson,,,KKR,Kolkata Knight Riders,8,,8,,69,,224,76,,,17.23,13.84,13.84,,,7.46,30.0,,,,1,1,,,,,13,,,,3/15,3/15,0,,0,0,,0.0,2021,,
Trent Boult,,,MI,Mumbai Indians,14,,14,,66,,406,138,,,31.23,23.69,23.69,,,7.9,51.0,,,,0,0,,,,,13,,,,4/18,4/18,1,,0,0,,0.0,2021,,
Rahul Chahar,,,MI,Mumbai Indians,11,,11,,171,,318,93,,,24.46,19.84,19.84,,,7.39,43.0,,,,1,0,,,,,13,,,,4/27,4/27,0,,1,0,,0.0,2021,,
Ravi Bishnoi,,,PBKS,Punjab Kings,9,,9,,520,,222,84,,,18.5,17.5,17.5,,,6.34,35.0,,,,0,0,,,,,12,,,,3/24,3/24,0,,0,0,,0.0,2021,,
Anrich Nortje,,,DC,Delhi Capitals,8,,8,,142,,187,84,,,15.58,15.16,15.16,,,6.16,30.0,,,,0,0,,,,,12,,,,3/33,3/33,1,,0,0,,0.0,2021,,
Prasidh Krishna,,,KKR,Kolkata Knight Riders,10,,10,,150,,351,102,,,29.25,19.25,19.25,,,9.11,38.0,,,,0,0,,,,,12,,,,4/30,4/30,0,,0,0,,0.0,2021,,
Shivam Mavi,,,KKR,Kolkata Knight Riders,9,,9,,154,,233,91,,,21.18,17.54,17.54,,,7.24,32.0,,,,2,2,,,,,11,,,,4/21,4/21,0,,1,0,,0.0,2021,,
Josh Hazlewood,,,CSK,Chennai Super Kings,9,,9,,36,,293,87,,,26.63,19.09,19.09,,,8.37,35.0,,,,0,0,,,,,11,,,,3/24,3/24,0,,0,0,,0.0,2021,,
Mohammed Siraj,,,RCB,Royal Challengers Bangalore,15,,15,,63,,353,147,,,32.09,28.36,28.36,,,6.78,52.0,,,,1,1,,,,,11,,,,4/32,4/32,1,,0,0,,0.0,2021,,
Andre Russell,,,KKR,Kolkata Knight Riders,10,,8,,141,,188,39,,,17.09,10.36,10.36,,,9.89,19.0,,,,14,14,,,,,11,,,,5/15,5/15,0,,0,1,,0.0,2021,,
Pat Cummins,,,KKR,Kolkata Knight Riders,7,,7,,33,,237,60,,,26.33,17.88,17.88,,,8.83,27.0,,,,5,8,,,,,9,,,,4/34,4/34,0,,0,0,,0.0,2021,,
Sam Curran,,,CSK,Chennai Super Kings,9,,9,,138,,328,76,,,36.44,22.0,22.0,,,9.93,33.0,,,,5,3,,,,,9,,,,4/11,4/11,0,,0,0,,0.0,2021,,
Kyle Jamieson,,,RCB,Royal Challengers Bangalore,9,,9,,382,,269,70,,,29.88,18.66,18.66,,,9.6,28.0,,,,5,3,,,,,9,,,,3/41,3/41,0,,0,0,,0.0,2021,,
Rahul Tewatia,,,RR,Rajasthan Royals,14,,13,,120,,340,50,,,42.5,27.75,27.75,,,9.18,37.0,,,,11,6,,,,,8,,,,3/18,3/18,0,,0,0,,0.0,2021,,
Siddarth Kaul,,,SRH,Sunrisers Hyderabad,8,,8,,64,,247,70,,,35.28,25.71,25.71,,,8.23,30.0,,,,1,0,,,,,7,,,,4/29,4/29,1,,0,0,,0.0,2021,,
Nathan Coulter-Nile,,,MI,Mumbai Indians,5,,5,,5,,127,53,,,18.14,17.14,17.14,,,6.35,20.0,,,,0,0,,,,,7,,,,4/14,4/14,0,,1,0,,0.0,2021,,
Ravichandran Ashwin,,,DC,Delhi Capitals,13,,13,,45,,331,95,,,47.28,38.28,38.28,,,7.41,44.0,,,,2,1,,,,,7,,,,4/34,4/34,0,,0,0,,0.0,2021,,
Shahbaz Ahmed,,,RCB,Royal Challengers Bangalore,11,,6,,523,,92,21,,,13.14,12.0,12.0,,,6.57,14.0,,,,4,2,,,,,7,,,,3/7,3/7,0,,0,0,,0.0,2021,,
Amit Mishra,,,DC,Delhi Capitals,4,,4,,107,,109,25,,,18.16,14.0,14.0,,,7.78,14.0,,,,0,0,,,,,6,,,,5/17,5/17,0,,1,0,,0.0,2021,,
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,11,,11,,15,,335,103,,,55.83,42.0,42.0,,,7.97,42.0,,,,3,0,,,,,6,,,,5/19,5/19,1,,0,0,,0.0,2021,,
Moeen Ali,,,CSK,Chennai Super Kings,15,,10,,206,,161,50,,,26.83,25.33,25.33,,,6.35,25.0,,,,31,19,,,,,6,,,,3/7,3/7,0,,0,0,,0.0,2021,,
Lungi Ngidi ,,,CSK,Chennai Super Kings,3,,3,,99,,125,25,,,25.0,14.4,14.4,,,10.41,12.0,,,,0,0,,,,,5,,,,4/10,4/10,0,,0,0,,0.0,2021,,
Chris Woakes,,,DC,Delhi Capitals,3,,3,,314,,82,33,,,16.4,13.2,13.2,,,7.45,11.0,,,,2,0,,,,,5,,,,3/36,3/36,0,,0,0,,0.0,2021,,
Krunal Pandya,,,MI,Mumbai Indians,13,,12,,17,,265,68,,,53.0,39.8,39.8,,,7.98,33.0,,,,10,6,,,,,5,,,,3/14,3/14,0,,0,0,,0.0,2021,,
Jimmy Neesham,,,MI,Mumbai Indians,3,,3,,80,,66,21,,,13.2,10.8,10.8,,,7.33,9.0,,,,0,0,,,,,5,,,,3/12,3/12,0,,0,0,,0.0,2021,,
Harpreet Brar,,,PBKS,Punjab Kings,7,,7,,130,,139,56,,,27.8,27.6,27.6,,,6.04,23.0,,,,3,2,,,,,5,,,,3/19,3/19,1,,0,0,,0.0,2021,,
Kieron Pollard,,,MI,Mumbai Indians,14,,9,,166,,95,26,,,19.0,15.8,15.8,,,7.21,13.0,,,,16,16,,,,,5,,,,4/44,4/44,0,,0,0,,0.0,2021,,
Khaleel Ahmed,,,SRH,Sunrisers Hyderabad,7,,7,,8,,219,56,,,43.8,32.4,32.4,,,8.11,27.0,,,,0,0,,,,,5,,,,3/21,3/21,0,,0,0,,0.0,2021,,
Abhishek Sharma,,,SRH,Sunrisers Hyderabad,8,,6,,212,,64,25,,,16.0,15.0,15.0,,,6.4,10.0,,,,7,4,,,,,4,,,,2/4,2/4,0,,0,0,,0.0,2021,,
Lalit Yadav,,,DC,Delhi Capitals,7,,5,,538,,101,21,,,25.25,21.0,21.0,,,7.21,14.0,,,,7,0,,,,,4,,,,2/13,2/13,0,,0,0,,0.0,2021,,
Jaydev Unadkat,,,RR,Mumbai Indians,6,,6,,180,,168,52,,,42.0,33.0,33.0,,,7.63,22.0,,,,3,2,,,,,4,,,,5/25,5/25,0,,0,0,,0.0,2021,,
Tom Curran,,,DC,Delhi Capitals,3,,3,,309,,104,19,,,26.0,17.0,17.0,,,9.17,11.0,,,,2,0,,,,,4,,,,3/29,3/29,0,,0,0,,0.0,2021,,
Chris Jordan,,,PBKS,Punjab Kings,4,,4,,519,,96,27,,,24.0,18.0,18.0,,,8.0,12.0,,,,1,3,,,,,4,,,,4/11,4/11,0,,0,0,,0.0,2021,,
Kartik Tyagi,,,RR,Rajasthan Royals,4,,4,,536,,124,37,,,31.0,21.0,21.0,,,8.85,14.0,,,,0,0,,,,,4,,,,2/29,2/29,0,,0,0,,0.0,2021,,
Moises Henriques,,,PBKS,Punjab Kings,5,,5,,133,,45,31,,,11.25,15.0,15.0,,,4.5,10.0,,,,0,1,,,,,4,,,,3/12,3/12,0,,0,0,,0.0,2021,,
Dan Christian,,,RCB,Royal Challengers Bangalore,9,,9,,0,,155,29,,,38.75,25.0,25.0,,,9.3,16.0,,,,1,0,,,,,4,,,,2/10,2/10,0,,0,0,,0.0,2021,,
Riley Meredith,,,PBKS,Punjab Kings,5,,5,,588,,169,38,,,42.25,25.5,25.5,,,9.94,17.0,,,,0,0,,,,,4,,,,1/29,1/29,0,,0,0,,0.0,2021,,
Shakib Al Hasan,,,KKR,Kolkata Knight Riders,8,,8,,222,,187,50,,,46.75,39.0,39.0,,,7.19,26.0,,,,3,1,,,,,4,,,,3/17,3/17,0,,0,0,,0.0,2021,,
Washington Sundar,,,RCB,Royal Challengers Bangalore,6,,6,,20,,118,32,,,39.33,32.0,32.0,,,7.37,16.0,,,,2,0,,,,,3,,,,3/16,3/16,0,,0,0,,0.0,2021,,
Venkatesh Iyer,,,KKR,Kolkata Knight Riders,10,,4,,584,,69,14,,,23.0,17.0,17.0,,,8.11,8.0,,,,37,14,,,,,3,,,,2/29,2/29,0,,0,0,,0.0,2021,,
Sandeep Sharma,,,SRH,Sunrisers Hyderabad,7,,7,,220,,203,52,,,67.66,47.0,47.0,,,8.63,23.0,,,,1,0,,,,,3,,,,4/20,4/20,0,,0,0,,0.0,2021,,
Adam Milne,,,MI,Mumbai Indians,4,,4,,157,,131,31,,,43.66,28.0,28.0,,,9.35,14.0,,,,0,1,,,,,3,,,,2/21,2/21,0,,0,0,,0.0,2021,,
Tim Southee,,,KKR,Kolkata Knight Riders,3,,3,,77,,95,23,,,31.66,24.0,24.0,,,7.91,12.0,,,,0,0,,,,,3,,,,3/24,3/24,0,,0,0,,0.0,2021,,
Vijay Shankar,,,SRH,Sunrisers Hyderabad,7,,5,,61,,100,22,,,33.33,22.0,22.0,,,9.09,11.0,,,,1,3,,,,,3,,,,2/19,2/19,0,,0,0,,0.0,2021,,
Jhye Richardson,,,PBKS,Punjab Kings,3,,3,,59,,117,24,,,39.0,22.0,22.0,,,10.63,11.0,,,,2,0,,,,,3,,,,2/41,2/41,0,,0,0,,0.0,2021,,
Glenn Maxwell,,,RCB,Royal Challengers Bangalore,15,,6,,28,,135,25,,,45.0,32.0,32.0,,,8.43,16.0,,,,48,21,,,,,3,,,,2/15,2/15,0,,0,0,,0.0,2021,,
George Garton,,,RCB,Royal Challengers Bangalore,5,,5,,634,,135,32,,,45.0,30.0,30.0,,,9.0,15.0,,,,0,0,,,,,3,,,,1/27,1/27,0,,0,0,,0.0,2021,,
T Natarajan,,,SRH,Sunrisers Hyderabad,2,,2,,224,,69,14,,,34.5,24.0,24.0,,,8.62,8.0,,,,0,0,,,,,2,,,,2/24,2/24,0,,0,0,,0.0,2021,,
Jayant Yadav,,,MI,Mumbai Indians,5,,5,,165,,130,44,,,65.0,51.0,51.0,,,7.64,17.0,,,,2,1,,,,,2,,,,1/23,1/23,0,,0,0,,0.0,2021,,
Imran Tahir,,,CSK,Chennai Super Kings,1,,1,,96,,16,14,,,8.0,12.0,12.0,,,4.0,4.0,,,,0,0,,,,,2,,,,4/12,4/12,0,,0,0,,0.0,2021,,
Umran Malik,,,SRH,Sunrisers Hyderabad,3,,3,,637,,96,31,,,48.0,36.0,36.0,,,8.0,12.0,,,,0,0,,,,,2,,,,1/21,1/21,0,,0,0,,0.0,2021,,
Marco Jansen,,,MI,Mumbai Indians,2,,2,,586,,45,14,,,22.5,18.0,18.0,,,7.5,6.0,,,,0,0,,,,,2,,,,2/28,2/28,0,,0,0,,0.0,2021,,
Marcus Stoinis,,,DC,Delhi Capitals,10,,8,,23,,117,17,,,58.5,33.5,33.5,,,10.47,11.0,,,,11,1,,,,,2,,,,4/15,4/15,0,,0,0,,0.0,2021,,
Mohammad Nabi,,,SRH,Sunrisers Hyderabad,3,,3,,217,,86,13,,,43.0,24.0,24.0,,,10.75,8.0,,,,3,2,,,,,2,,,,4/11,4/11,0,,0,0,,0.0,2021,,
Mujeeb Ur Rahman,,,SRH,Sunrisers Hyderabad,1,,1,,134,,29,10,,,14.5,12.0,12.0,,,7.25,4.0,,,,0,0,,,,,2,,,,3/27,3/27,0,,0,0,,0.0,2021,,
Deepak Hooda,,,PBKS,Punjab Kings,12,,7,,215,,136,31,,,68.0,48.0,48.0,,,8.5,16.0,,,,9,9,,,,,2,,,,2/16,2/16,0,,0,0,,0.0,2021,,
Fabian Allen,,,PBKS,Punjab Kings,4,,3,,264,,90,20,,,90.0,66.0,66.0,,,8.18,11.0,,,,0,0,,,,,1,,,,1/22,1/22,1,,0,0,,0.0,2021,,
Glenn Phillips,,,RR,Rajasthan Royals,3,,2,,635,,20,4,,,20.0,12.0,12.0,,,10.0,2.0,,,,1,2,,,,,1,,,,1/17,1/17,0,,0,0,,0.0,2021,,
Piyush Chawla,,,MI,Mumbai Indians,1,,1,,149,,38,3,,,38.0,24.0,24.0,,,9.5,4.0,,,,0,0,,,,,1,,,,4/17,4/17,0,,0,0,,0.0,2021,,
Ishan Porel,,,PBKS,Punjab Kings,1,,1,,517,,39,10,,,39.0,24.0,24.0,,,9.75,4.0,,,,0,0,,,,,1,,,,1/39,1/39,0,,0,0,,0.0,2021,,
Daniel Sams,,,RCB,Royal Challengers Bangalore,2,,2,,546,,39,15,,,39.0,36.0,36.0,,,6.5,6.0,,,,0,0,,,,,1,,,,1/24,1/24,0,,0,0,,0.0,2021,,
Ishant Sharma,,,DC,Delhi Capitals,3,,3,,50,,97,26,,,97.0,72.0,72.0,,,8.08,12.0,,,,0,0,,,,,1,,,,5/12,5/12,2,,0,0,,0.0,2021,,
Kane Richardson,,,RCB,Royal Challengers Bangalore,1,,1,,85,,29,5,,,29.0,18.0,18.0,,,9.66,3.0,,,,0,0,,,,,1,,,,3/13,3/13,0,,0,0,,0.0,2021,,
KM Asif,,,CSK,Chennai Super Kings,1,,1,,88,,18,2,,,18.0,13.0,13.0,,,8.3,2.0,,,,0,0,,,,,1,,,,2/43,2/43,0,,0,0,,0.0,2021,,
Shahbaz Nadeem,,,SRH,Sunrisers Hyderabad,1,,1,,221,,36,9,,,36.0,24.0,24.0,,,9.0,4.0,,,,0,0,,,,,1,,,,3/16,3/16,0,,0,0,,0.0,2021,,
Lukman Meriwala,,,DC,Delhi Capitals,1,,1,,579,,32,6,,,32.0,18.0,18.0,,,10.66,3.0,,,,0,0,,,,,1,,,,1/32,1/32,0,,0,0,,0.0,2021,,
Mahipal Lomror,,,RR,Rajasthan Royals,4,,4,,184,,47,13,,,47.0,42.0,42.0,,,6.71,7.0,,,,3,6,,,,,1,,,,1/22,1/22,0,,0,0,,0.0,2021,,
Riyan Parag,,,RR,Rajasthan Royals,11,,6,,189,,73,7,,,73.0,37.0,37.0,,,11.83,6.0,,,,6,4,,,,,1,,,,1/10,1/10,0,,0,0,,0.0,2021,,
Murugan Ashwin,,,PBKS,Punjab Kings,3,,3,,135,,97,19,,,97.0,66.0,66.0,,,8.81,11.0,,,,1,0,,,,,1,,,,3/21,3/21,0,,0,0,,0.0,2021,,
Nathan Ellis,,,PBKS,Punjab Kings,3,,3,,633,,98,27,,,98.0,72.0,72.0,,,8.16,12.0,,,,0,1,,,,,1,,,,1/20,1/20,0,,0,0,,0.0,2021,,
Yuzvendra Chahal,1.0,,RR,Rajasthan Royals,17,60.0,17,18.0,2018-100mb00000000010-b76159ade99b11,408.0,527,137,33.57,292.0,19.51,15.11,15.11,49.71,7.84,7.75,68.0,197.0,19.0,3.0,25,27,21.0,0.0,1.0,8.0,27,5.0,40.0,5.0,40/5,40/5,0,0.0,1,1,0.0,,2022,40.0,111.0
Wanindu Hasaranga,1.0,,RCB,Royal Challengers Bangalore,16,60.0,16,19.0,2020-100mb00000000377-c8cec37e2dec11,342.0,430,143,41.81,203.0,16.53,13.15,13.15,63.25,6.45,7.54,57.0,137.0,10.0,0.0,23,30,4.0,0.0,4.0,5.0,26,5.0,18.0,5.0,18/5,18/5,1,1.0,1,1,0.0,,2022,18.0,3082.0
Kagiso Rabada,0.0,,PBKS,Punjab Kings,13,60.0,13,15.0,2019-100mb00000000116-dbd48930449611,288.0,406,133,46.18,170.0,17.65,12.52,12.52,67.48,4.72,8.45,48.0,78.0,21.0,0.0,46,15,12.0,3.0,2.0,6.0,23,4.0,33.0,4.0,33/4,33/4,0,0.0,2,0,0.0,,2022,33.0,1664.0
Umran Malik,1.0,,SRH,Sunrisers Hyderabad,14,60.0,14,20.0,2021-100mb00000000637-4e1434ea244f11,295.0,444,141,47.79,171.0,20.18,13.4,13.4,71.62,4.15,9.03,49.1,70.0,13.0,4.0,54,17,14.0,4.0,2.0,9.0,22,5.0,25.0,5.0,25/5,25/5,1,1.0,1,1,0.0,,2022,25.0,15154.0
Kuldeep Yadav,0.0,,DC,Delhi Capitals,14,60.0,14,14.0,2018-100mb00000000014-227bc550e99c11,298.0,419,97,32.55,209.0,19.95,14.19,14.19,59.18,5.84,8.43,49.4,137.0,13.0,0.0,29,22,8.0,0.0,0.0,1.0,21,4.0,14.0,4.0,14/4,14/4,0,0.0,2,0,0.0,,2022,14.0,261.0
Mohammad Shami,1.0,,GT,Gujarat Titans,16,60.0,16,35.0,2018-100mb00000000047-1bfc8ff2f88b11,366.0,488,172,46.99,206.0,24.4,18.3,18.3,65.98,5.08,8.0,61.0,102.0,20.0,4.0,55,17,12.0,0.0,0.0,3.0,20,3.0,25.0,3.0,25/3,25/3,0,0.0,0,0,0.0,,2022,25.0,94.0
Josh Hazlewood,0.0,,RCB,Royal Challengers Bangalore,12,60.0,12,19.0,2018-100mb00000000036-2af54408f88a11,279.0,377,123,44.08,166.0,18.85,13.95,13.95,65.25,5.26,8.1,46.3,87.0,14.0,2.0,36,17,10.0,0.0,1.0,2.0,20,4.0,25.0,4.0,25/4,25/4,1,1.0,1,0,0.0,,2022,25.0,857.0
Rashid Khan,1.0,,GT,Gujarat Titans,16,60.0,16,35.0,2019-100mb00000000218-42d9d6f544bf11,383.0,421,127,33.15,259.0,22.15,20.15,20.15,39.9,11.26,6.59,63.5,196.0,26.0,2.0,18,16,3.0,0.0,4.0,3.0,19,4.0,24.0,4.0,24/4,24/4,0,0.0,1,0,0.0,,2022,24.0,2885.0
Harshal Patel,1.0,,RCB,Royal Challengers Bangalore,15,60.0,15,19.0,2019-100mb00000000114-8c98068c449611,321.0,410,130,40.49,208.0,21.57,16.89,16.89,57.56,6.55,7.66,53.3,129.0,16.0,0.0,29,20,17.0,0.0,0.0,11.0,19,4.0,34.0,4.0,34/4,34/4,2,2.0,1,0,0.0,,2022,34.0,157.0
Prasidh Krishna,1.0,,RR,Rajasthan Royals,17,60.0,17,18.0,2019-100mb00000000150-3a51ee2844a911,399.0,551,200,50.12,232.0,29.0,21.0,21.0,71.14,4.48,8.28,66.3,100.0,15.0,1.0,71,18,30.0,3.0,4.0,9.0,19,3.0,22.0,3.0,22/3,22/3,3,2.0,0,0,0.0,,2022,22.0,5105.0
Avesh Khan,1.0,,LSG,Lucknow Super Giants,13,60.0,13,77.0,2019-100mb00000000109-5cc123ab449411,286.0,416,126,44.05,174.0,23.11,15.88,15.88,69.71,4.33,8.72,47.4,79.0,17.0,1.0,53,13,13.0,1.0,4.0,3.0,18,4.0,24.0,4.0,24/4,24/4,1,1.0,1,0,0.0,,2022,24.0,1561.0
T Natarajan,0.0,,SRH,Sunrisers Hyderabad,11,60.0,11,20.0,2019-100mb00000000224-85b4cb8c44c011,258.0,406,82,31.78,190.0,22.55,14.33,14.33,61.08,4.86,9.44,43.0,105.0,19.0,0.0,35,18,14.0,0.0,0.0,4.0,18,3.0,10.0,3.0,10/3,10/3,0,0.0,0,0,0.0,,2022,10.0,3831.0
Andre Russell,1.0,,KKR,Kolkata Knight Riders,14,60.0,13,16.0,2019-100mb00000000141-e67c41d144a711,169.0,278,58,34.31,118.0,16.35,9.94,9.94,67.62,4.12,9.86,28.1,59.0,14.0,0.0,29,12,6.0,1.0,4.0,0.0,17,4.0,5.0,4.0,5/4,5/4,0,0.0,1,0,0.0,,2022,5.0,177.0
Umesh Yadav,1.0,,KKR,Kolkata Knight Riders,12,60.0,12,16.0,2018-100mb00000000021-a294dad8e99c11,288.0,339,143,49.65,154.0,21.18,18.0,18.0,65.48,5.87,7.06,48.0,86.0,10.0,2.0,36,13,4.0,5.0,6.0,9.0,16,4.0,23.0,4.0,23/4,23/4,2,2.0,1,0,0.0,,2022,23.0,59.0
Trent Boult,1.0,,RR,Rajasthan Royals,16,60.0,16,18.0,2019-100mb00000000066-573f78a31e3711,372.0,492,176,47.31,211.0,30.75,23.25,23.25,67.47,4.96,7.93,62.0,99.0,22.0,2.0,59,16,15.0,0.0,1.0,8.0,16,2.0,18.0,2.0,18/2,18/2,3,0.0,0,0,0.0,,2022,18.0,969.0
Khaleel Ahmed,1.0,,DC,Delhi Capitals,10,60.0,10,14.0,2018-100mb00000000008-787fc4ece99b11,235.0,315,110,46.8,132.0,19.68,14.68,14.68,67.93,5.0,8.04,39.1,62.0,16.0,0.0,34,13,6.0,1.0,0.0,0.0,16,3.0,25.0,3.0,25/3,25/3,0,0.0,0,0,0.0,,2022,25.0,2964.0
Dwayne Bravo,1.0,,CSK,Chennai Super Kings,10,60.0,10,13.0,2019-100mb00000000093-b986cb2243ed11,206.0,299,70,33.98,159.0,18.68,12.87,12.87,50.83,5.88,8.7,34.2,81.0,20.0,1.0,29,6,20.0,3.0,0.0,4.0,16,3.0,20.0,3.0,20/3,20/3,1,1.0,0,0,0.0,,2022,20.0,25.0
Mukesh Choudhary,0.0,,CSK,Chennai Super Kings,13,60.0,13,13.0,2022-100mb00000000970-8f107726a44511,273.0,424,119,43.58,172.0,26.5,17.06,17.06,68.39,4.26,9.31,45.3,68.0,18.0,4.0,47,17,18.0,0.0,0.0,1.0,16,4.0,46.0,4.0,46/4,46/4,0,0.0,1,0,0.0,,2022,46.0,20575.0
Jasprit Bumrah,1.0,,MI,Mumbai Indians,14,60.0,14,17.0,2018-100mb00000000009-92bfdfe9e99b11,320.0,383,139,43.43,188.0,25.53,21.33,21.33,56.91,6.53,7.18,53.2,109.0,22.0,3.0,38,11,6.0,1.0,0.0,9.0,15,5.0,10.0,5.0,10/5,10/5,2,2.0,0,1,0.0,,2022,10.0,1124.0
Shardul Thakur,1.0,,DC,Delhi Capitals,14,60.0,14,14.0,2019-100mb00000000105-4c526de743fe11,290.0,473,109,37.58,206.0,31.53,19.33,19.33,66.38,4.32,9.78,48.2,97.0,20.0,0.0,44,23,24.0,1.0,1.0,11.0,15,4.0,36.0,4.0,36/4,36/4,1,0.0,1,0,0.0,,2022,36.0,1745.0
Mohsin Khan,0.0,,LSG,Lucknow Super Giants,9,60.0,9,77.0,2020-100mb00000000541-c84d8371639b11,198.0,197,107,54.04,99.0,14.07,14.14,14.14,55.83,7.92,5.96,33.0,55.0,11.0,2.0,20,5,8.0,0.0,4.0,1.0,14,4.0,16.0,4.0,16/4,16/4,2,1.0,1,0,0.0,,2022,16.0,4952.0
Rahul Chahar,1.0,,PBKS,Punjab Kings,13,60.0,13,15.0,2019-100mb00000000171-b2aa538f44ae11,280.0,360,99,35.35,191.0,25.71,20.0,20.0,50.0,7.36,7.71,46.4,118.0,27.0,0.0,24,14,10.0,0.0,4.0,1.0,14,3.0,25.0,3.0,25/3,25/3,1,1.0,0,0,0.0,,2022,25.0,3763.0
Tim Southee,1.0,,KKR,Kolkata Knight Riders,9,60.0,9,16.0,2019-100mb00000000077-20befda21e4011,210.0,275,93,44.28,127.0,19.64,15.0,15.0,60.36,6.0,7.85,35.0,66.0,15.0,1.0,22,13,9.0,1.0,1.0,8.0,14,3.0,20.0,3.0,20/3,20/3,0,0.0,0,0,0.0,,2022,20.0,307.0
Jason Holder,1.0,,LSG,Lucknow Super Giants,12,60.0,12,77.0,2019-100mb00000000263-296c7a0b7adb11,249.0,391,77,30.92,189.0,27.92,17.78,17.78,59.84,5.08,9.42,41.3,106.0,16.0,2.0,30,19,17.0,0.0,0.0,8.0,14,3.0,31.0,3.0,31/3,31/3,0,0.0,0,0,0.0,,2022,31.0,1075.0
Ravi Bishnoi,1.0,,LSG,Lucknow Super Giants,14,60.0,14,77.0,2020-100mb00000000520-c2b1e0df638711,324.0,456,113,34.87,227.0,35.07,24.92,24.92,58.33,5.58,8.44,54.0,132.0,23.0,0.0,41,17,13.0,3.0,0.0,6.0,13,2.0,22.0,2.0,22/2,22/2,0,0.0,0,0,0.0,,2022,22.0,19351.0
