BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,Year,InningsRuns,ClientPlayerID
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,12,,12,,15,,354,124,,,39.33,30.77,30.77,,,7.66,46.0,,,,1,0,,,,,9,,,,May-19,May-19,1,,0,0,,0.0,2018,,
Chris Woakes,,,RCB,Royal Challengers Bangalore,5,,5,,314,,190,47,,,23.75,13.75,13.75,,,10.36,18.0,,,,1,1,,,,,8,,,,Mar-36,Mar-36,0,,0,0,,0.0,2018,,
Ben Stokes,,,RR,Rajasthan Royals,13,,12,,177,,303,77,,,37.87,27.75,27.75,,,8.18,37.0,,,,13,6,,,,,8,,,,Mar-15,Mar-15,1,,0,0,,0.0,2018,,
Harshal Patel,,,DC,Delhi Capitals,5,,5,,114,,167,36,,,23.85,15.0,15.0,,,9.54,17.0,,,,1,6,,,,,7,,,,May-27,May-27,0,,0,0,,0.0,2018,,
Mohit Sharma,,,PBKS,Punjab Kings,9,,9,,100,,322,50,,,46.0,25.42,25.42,,,10.85,29.0,,,,1,0,,,,,7,,,,Apr-14,Apr-14,0,,0,0,,0.0,2018,,
Mustafizur Rahman,,,MI,Mumbai Indians,7,,7,,258,,230,59,,,32.85,23.57,23.57,,,8.36,27.0,,,,0,0,,,,,7,,,,Mar-16,Mar-16,0,,0,0,,0.0,2018,,
Harbhajan Singh,,,CSK,Chennai Super Kings,13,,12,,95,,270,68,,,38.57,27.28,27.28,,,8.48,32.0,,,,3,1,,,,,7,,,,May-18,May-18,0,,0,0,,0.0,2018,,
Imran Tahir,,,CSK,Chennai Super Kings,6,,6,,96,,188,40,,,31.33,20.66,20.66,,,9.09,20.0,,,,0,0,,,,,6,,,,04-Dec,04-Dec,0,,0,0,,0.0,2018,,
Tom Curran,,,KKR,Kolkata Knight Riders,5,,5,,309,,118,15,,,19.66,10.16,10.16,,,11.6,10.0,,,,3,0,,,,,6,,,,Mar-29,Mar-29,0,,0,0,,0.0,2018,,
Rahul Tewatia,,,DC,Delhi Capitals,8,,8,,120,,173,41,,,28.83,22.0,22.0,,,7.86,22.0,,,,5,1,,,,,6,,,,Mar-18,Mar-18,0,,0,0,,0.0,2018,,
Shane Watson,,,CSK,Chennai Super Kings,15,,11,,104,,251,57,,,41.83,28.0,28.0,,,8.96,28.0,,,,44,35,,,,,6,,,,Apr-29,Apr-29,0,,0,0,,0.0,2018,,
Tim Southee,,,RCB,Royal Challengers Bangalore,8,,8,,77,,261,59,,,52.2,34.8,34.8,,,9.0,29.0,,,,5,1,,,,,5,,,,Mar-24,Mar-24,0,,0,0,,0.0,2018,,
Sandeep Lamichhane,,,DC,Delhi Capitals,3,,3,,121,,82,30,,,16.4,14.4,14.4,,,6.83,12.0,,,,0,0,,,,,5,,,,Mar-36,Mar-36,0,,0,0,,0.0,2018,,
Basil Thampi,,,SRH,Sunrisers Hyderabad,4,,4,,213,,114,17,,,22.8,12.2,12.2,,,11.21,10.0,,,,0,0,,,,,5,,,,Mar-29,Mar-29,0,,0,0,,0.0,2018,,
Shivam Mavi,,,KKR,Kolkata Knight Riders,9,,9,,154,,270,64,,,54.0,33.6,33.6,,,9.64,28.0,,,,1,0,,,,,5,,,,Apr-21,Apr-21,0,,0,0,,0.0,2018,,
Billy Stanlake,,,SRH,Sunrisers Hyderabad,4,,4,,29,,130,47,,,26.0,19.2,19.2,,,8.12,16.0,,,,1,0,,,,,5,,,,Feb-21,Feb-21,0,,0,0,,0.0,2018,,
Carlos Brathwaite,,,SRH,Sunrisers Hyderabad,4,,4,,143,,94,23,,,18.8,12.2,12.2,,,9.24,10.0,,,,1,8,,,,,5,,,,Mar-43,Mar-43,0,,0,0,,0.0,2018,,
Glenn Maxwell,,,DC,Delhi Capitals,12,,10,,28,,132,32,,,26.4,19.2,19.2,,,8.25,16.0,,,,14,9,,,,,5,,,,Feb-15,Feb-15,0,,0,0,,0.0,2018,,
Ish Sodhi,,,RR,Rajasthan Royals,6,,6,,76,,135,51,,,27.0,27.6,27.6,,,5.86,23.0,,,,0,0,,,,,5,,,,Mar-26,Mar-26,0,,0,0,,0.0,2018,,
Dhawal Kulkarni,,,RR,Rajasthan Royals,8,,8,,178,,188,54,,,47.0,29.75,29.75,,,9.47,20.0,,,,0,0,,,,,4,,,,Apr-14,Apr-14,0,,0,0,,0.0,2018,,
Washington Sundar,,,RCB,Royal Challengers Bangalore,7,,7,,20,,192,29,,,48.0,30.0,30.0,,,9.6,20.0,,,,5,4,,,,,4,,,,Mar-16,Mar-16,0,,0,0,,0.0,2018,,
Avesh Khan,,,DC,Delhi Capitals,6,,6,,109,,204,44,,,51.0,28.5,28.5,,,10.73,19.0,,,,0,0,,,,,4,,,,Mar-13,Mar-13,0,,0,0,,0.0,2018,,
Nitish Rana,,,KKR,Kolkata Knight Riders,15,,5,,148,,44,17,,,11.0,9.25,9.25,,,7.13,6.0,,,,26,14,,,,,4,,,,02-Nov,02-Nov,0,,0,0,,0.0,2018,,
Barinder Sran,,,PBKS,Punjab Kings,6,,6,,161,,229,47,,,57.25,33.0,33.0,,,10.4,22.0,,,,0,0,,,,,4,,,,Mar-28,Mar-28,0,,0,0,,0.0,2018,,
Dan Christian,,,DC,Delhi Capitals,4,,4,,0,,101,22,,,25.25,17.75,17.75,,,8.53,12.0,,,,0,1,,,,,4,,,,02-Oct,02-Oct,0,,0,0,,0.0,2018,,
Liam Plunkett,,,DC,Delhi Capitals,7,,7,,310,,225,42,,,56.25,37.5,37.5,,,9.0,25.0,,,,0,0,,,,,4,,,,Mar-17,Mar-17,0,,0,0,,0.0,2018,,
Karn Sharma,,,CSK,Chennai Super Kings,6,,5,,98,,89,16,,,22.25,14.25,14.25,,,9.36,9.0,,,,0,0,,,,,4,,,,Apr-16,Apr-16,0,,0,0,,0.0,2018,,
Shahbaz Nadeem,,,DC,Delhi Capitals,6,,6,,221,,161,21,,,53.66,30.0,30.0,,,10.73,15.0,,,,0,0,,,,,3,,,,Mar-16,Mar-16,0,,0,0,,0.0,2018,,
Axar Patel,,,PBKS,Punjab Kings,9,,8,,110,,218,41,,,72.66,52.0,52.0,,,8.38,26.0,,,,3,4,,,,,3,,,,Apr-21,Apr-21,0,,0,0,,0.0,2018,,
Mohammad Shami,,,DC,Delhi Capitals,4,,4,,47,,144,28,,,48.0,27.66,27.66,,,10.4,14.0,,,,1,0,,,,,3,,,,Mar-15,Mar-15,0,,0,0,,0.0,2018,,
Corey Anderson,,,RCB,Royal Challengers Bangalore,3,,3,,0,,115,16,,,38.33,17.33,17.33,,,13.26,8.0,,,,0,1,,,,,3,,,,Feb-18,Feb-18,0,,0,0,,0.0,2018,,
KM Asif,,,CSK,Chennai Super Kings,2,,2,,88,,75,16,,,25.0,12.0,12.0,,,12.5,6.0,,,,0,0,,,,,3,,,,Feb-43,Feb-43,0,,0,0,,0.0,2018,,
Moeen Ali,,,RCB,Royal Challengers Bangalore,5,,5,,206,,97,27,,,32.33,26.33,26.33,,,7.36,13.0,,,,4,6,,,,,3,,,,03-Jul,03-Jul,0,,0,0,,0.0,2018,,
Murugan Ashwin,,,RCB,Royal Challengers Bangalore,2,,2,,135,,53,20,,,17.66,14.0,14.0,,,7.57,7.0,,,,0,0,,,,,3,,,,Mar-21,Mar-21,0,,0,0,,0.0,2018,,
Marcus Stoinis,,,PBKS,Punjab Kings,7,,6,,23,,120,15,,,40.0,22.0,22.0,,,10.9,11.0,,,,6,4,,,,,3,,,,Apr-15,Apr-15,0,,0,0,,0.0,2018,,
Chris Morris,,,DC,Delhi Capitals,4,,4,,112,,143,31,,,47.66,28.0,28.0,,,10.21,14.0,,,,3,2,,,,,3,,,,Apr-23,Apr-23,0,,0,0,,0.0,2018,,
Colin de Grandhomme,,,RCB,Royal Challengers Bangalore,9,,7,,68,,129,26,,,64.5,45.0,45.0,,,8.6,15.0,,,,4,10,,,,,2,,,,03-Apr,03-Apr,0,,0,0,,0.0,2018,,
Vinay Kumar,,,KKR,Kolkata Knight Riders,2,,2,,0,,65,8,,,32.5,11.5,11.5,,,16.95,4.0,,,,1,0,,,,,2,,,,Apr-40,Apr-40,0,,0,0,,0.0,2018,,
David Willey,,,CSK,Chennai Super Kings,3,,3,,90,,95,20,,,47.5,30.0,30.0,,,9.5,10.0,,,,0,0,,,,,2,,,,Jan-24,Jan-24,0,,0,0,,0.0,2018,,
Mitchell Johnson,,,KKR,Kolkata Knight Riders,6,,6,,0,,216,46,,,108.0,63.0,63.0,,,10.28,21.0,,,,2,0,,,,,2,,,,Mar-26,Mar-26,0,,0,0,,0.0,2018,,
Kulwant Khejroliya,,,RCB,Royal Challengers Bangalore,3,,3,,204,,107,18,,,53.5,32.5,32.5,,,9.87,11.0,,,,0,0,,,,,2,,,,Feb-33,Feb-33,0,,0,0,,0.0,2018,,
Javon Searles,,,KKR,Kolkata Knight Riders,4,,3,,0,,89,7,,,44.5,21.0,21.0,,,12.71,7.0,,,,0,1,,,,,2,,,,Jan-24,Jan-24,0,,0,0,,0.0,2018,,
Ben Cutting,,,MI,Mumbai Indians,9,,7,,162,,168,24,,,84.0,51.0,51.0,,,9.88,17.0,,,,5,8,,,,,2,,,,Feb-20,Feb-20,0,,0,0,,0.0,2018,,
Pawan Negi,,,RCB,Royal Challengers Bangalore,2,,2,,208,,49,9,,,49.0,24.0,24.0,,,12.25,4.0,,,,0,0,,,,,1,,,,Apr-18,Apr-18,0,,0,0,,0.0,2018,,
D'Arcy Short,,,RR,Rajasthan Royals,7,,2,,0,,19,8,,,19.0,18.0,18.0,,,6.33,3.0,,,,11,5,,,,,1,,,,01-Oct,01-Oct,0,,0,0,,0.0,2018,,
Anureet Singh,,,RR,Rajasthan Royals,3,,3,,0,,42,4,,,42.0,24.0,24.0,,,10.5,4.0,,,,0,0,,,,,1,,,,Mar-23,Mar-23,0,,0,0,,0.0,2018,,
Vijay Shankar,,,DC,Delhi Capitals,13,,4,,61,,58,8,,,58.0,30.0,30.0,,,11.6,5.0,,,,11,11,,,,,1,,,,Feb-19,Feb-19,0,,0,0,,0.0,2018,,
Yusuf Pathan,,,SRH,Sunrisers Hyderabad,15,,1,,226,,14,2,,,14.0,12.0,12.0,,,7.0,2.0,,,,22,11,,,,,1,,,,Mar-20,Mar-20,0,,0,0,,0.0,2018,,
