BowlerName,TeamName,Matches,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Year
Moeen Ali,Royal Challengers Bangalore,5,97,27,,32.33,26.33,,,7.36,13.0,,,3,0,0,0,0.0,2018
Murugan Ashwin,Royal Challengers Bangalore,2,53,20,,17.66,14.0,,,7.57,7.0,,,3,0,0,0,0.0,2018
Marcus Stoinis,Punjab Kings,7,120,15,,40.0,22.0,,,10.9,11.0,,,3,0,0,0,0.0,2018
Chris Morris,Delhi Capitals,4,143,31,,47.66,28.0,,,10.21,14.0,,,3,0,0,0,0.0,2018
Colin de Grandhomme,Royal Challengers Bangalore,9,129,26,,64.5,45.0,,,8.6,15.0,,,2,0,0,0,0.0,2018
Vinay Kumar,Kolkata Knight Riders,2,65,8,,32.5,11.5,,,16.95,4.0,,,2,0,0,0,0.0,2018
David Willey,Chennai Super Kings,3,95,20,,47.5,30.0,,,9.5,10.0,,,2,0,0,0,0.0,2018
Mitchell Johnson,Kolkata Knight Riders,6,216,46,,108.0,63.0,,,10.28,21.0,,,2,0,0,0,0.0,2018
Kulwant Khejroliya,Royal Challengers Bangalore,3,107,18,,53.5,32.5,,,9.87,11.0,,,2,0,0,0,0.0,2018
Javon Searles,Kolkata Knight Riders,4,89,7,,44.5,21.0,,,12.71,7.0,,,2,0,0,0,0.0,2018
Ben Cutting,Mumbai Indians,9,168,24,,84.0,51.0,,,9.88,17.0,,,2,0,0,0,0.0,2018
Pawan Negi,Royal Challengers Bangalore,2,49,9,,49.0,24.0,,,12.25,4.0,,,1,0,0,0,0.0,2018
D'Arcy Short,Rajasthan Royals,7,19,8,,19.0,18.0,,,6.33,3.0,,,1,0,0,0,0.0,2018
Anureet Singh,Rajasthan Royals,3,42,4,,42.0,24.0,,,10.5,4.0,,,1,0,0,0,0.0,2018
Vijay Shankar,Delhi Capitals,13,58,8,,58.0,30.0,,,11.6,5.0,,,1,0,0,0,0.0,2018
Yusuf Pathan,Sunrisers Hyderabad,15,14,2,,14.0,12.0,,,7.0,2.0,,,1,0,0,0,0.0,2018
Mohammad Nabi,Sunrisers Hyderabad,2,47,12,,47.0,30.0,,,9.4,5.0,,,1,0,0,0,0.0,2018
Imran Tahir,Chennai Super Kings,17,431,149,,16.57,14.84,,,6.69,64.0,,,26,1,2,0,0.0,2019
Kagiso Rabada,Delhi Capitals,12,368,113,,14.72,11.28,,,7.82,47.0,,,25,0,2,0,0.0,2019
Deepak Chahar,Chennai Super Kings,17,482,190,,21.9,17.59,,,7.47,64.0,,,22,2,0,0,0.0,2019
Shreyas Gopal,Rajasthan Royals,14,347,107,,17.35,14.4,,,7.22,48.0,,,20,1,0,0,1.0,2019
Mohammad Shami,Punjab Kings,14,469,119,,24.68,17.05,,,8.68,54.0,,,19,0,0,0,0.0,2019
Khaleel Ahmed,Sunrisers Hyderabad,9,287,87,,15.1,11.0,,,8.23,35.0,,,19,0,0,0,0.0,2019
Jasprit Bumrah,Mumbai Indians,16,409,169,,21.52,19.47,,,6.63,61.0,,,19,1,0,0,0.0,2019
Yuzvendra Chahal,Royal Challengers Bangalore,14,386,117,,21.44,16.44,,,7.82,49.0,,,18,1,1,0,0.0,2019
Rashid Khan,Sunrisers Hyderabad,15,377,166,,22.17,21.17,,,6.28,60.0,,,17,1,0,0,0.0,2019
Lasith Malinga,Mumbai Indians,12,438,91,,27.37,16.81,,,9.76,45.0,,,16,0,2,0,0.0,2019
Harbhajan Singh,Chennai Super Kings,11,312,117,,19.5,16.5,,,7.09,44.0,,,16,1,0,0,0.0,2019
Ravichandran Ashwin,Punjab Kings,14,400,100,,26.66,22.0,,,7.27,55.0,,,15,0,0,0,0.0,2019
Ravindra Jadeja,Chennai Super Kings,16,343,128,,22.86,21.6,,,6.35,54.0,,,15,1,0,0,0.0,2019
Hardik Pandya,Mumbai Indians,16,390,94,,27.85,18.21,,,9.17,42.0,,,14,0,0,0,0.0,2019
Chris Morris,Delhi Capitals,9,306,68,,23.53,15.23,,,9.27,33.0,,,13,0,0,0,0.0,2019
Rahul Chahar,Mumbai Indians,13,308,125,,23.69,21.69,,,6.55,47.0,,,13,0,0,0,0.0,2019
Ishant Sharma,Delhi Capitals,13,349,122,,26.84,21.23,,,7.58,46.0,,,13,1,0,0,0.0,2019
Bhuvneshwar Kumar,Sunrisers Hyderabad,15,461,168,,35.46,27.23,,,7.81,59.0,,,13,1,0,0,0.0,2019
Krunal Pandya,Mumbai Indians,16,335,94,,27.91,23.0,,,7.28,46.0,,,12,0,0,0,0.0,2019
Sandeep Sharma,Sunrisers Hyderabad,11,352,82,,29.33,21.33,,,8.25,42.0,,,12,0,0,0,0.0,2019
Dwayne Bravo,Chennai Super Kings,12,330,74,,30.0,22.45,,,8.01,41.0,,,11,0,0,0,0.0,2019
Amit Mishra,Delhi Capitals,11,270,83,,24.54,21.81,,,6.75,40.0,,,11,0,0,0,0.0,2019
Andre Russell,Kolkata Knight Riders,14,287,61,,26.09,16.45,,,9.51,30.0,,,11,0,0,0,0.0,2019
Navdeep Saini,Royal Challengers Bangalore,13,397,141,,36.09,26.18,,,8.27,48.0,,,11,0,0,0,0.0,2019
Jofra Archer,Mumbai Indians,11,291,121,,26.45,23.45,,,6.76,43.0,,,11,2,0,0,0.0,2019
Sam Curran,Punjab Kings,9,323,60,,32.3,19.8,,,9.78,33.0,,,10,0,1,0,1.0,2019
Axar Patel,Delhi Capitals,14,364,110,,36.4,30.6,,,7.13,51.0,,,10,0,0,0,0.0,2019
Piyush Chawla,Kolkata Knight Riders,13,399,87,,39.9,26.7,,,8.96,44.0,,,10,0,0,0,0.0,2019
Sunil Narine,Kolkata Knight Riders,12,347,96,,34.7,26.6,,,7.82,44.0,,,10,1,0,0,0.0,2019
Jaydev Unadkat,Mumbai Indians,11,398,58,,39.8,22.4,,,10.66,37.0,,,10,0,0,0,0.0,2019
Keemo Paul,Delhi Capitals,8,237,54,,26.33,18.11,,,8.72,27.0,,,9,0,0,0,0.0,2019
Shardul Thakur,Chennai Super Kings,10,281,65,,35.12,22.5,,,9.36,30.0,,,8,0,0,0,0.0,2019
Mohammad Nabi,Sunrisers Hyderabad,8,194,69,,24.25,21.87,,,6.65,29.0,,,8,0,1,0,0.0,2019
Umesh Yadav,Royal Challengers Bangalore,11,371,88,,46.37,28.37,,,9.8,38.0,,,8,0,0,0,0.0,2019
Sandeep Lamichhane,Delhi Capitals,6,210,47,,26.25,17.25,,,9.13,23.0,,,8,0,0,0,0.0,2019
Mohammed Siraj,Royal Challengers Bangalore,9,269,69,,38.42,24.14,,,9.55,28.0,,,7,1,0,0,0.0,2019
Harry Gurney,Kolkata Knight Riders,8,238,51,,34.0,23.14,,,8.81,27.0,,,7,0,0,0,0.0,2019
Hardus Viljoen,Punjab Kings,6,222,47,,31.71,19.71,,,9.65,23.0,,,7,0,0,0,0.0,2019
Siddarth Kaul,Sunrisers Hyderabad,7,242,56,,40.33,27.0,,,8.96,27.0,,,6,0,0,0,0.0,2019
Moeen Ali,Royal Challengers Bangalore,11,169,63,,28.16,25.0,,,6.76,25.0,,,6,0,0,0,0.0,2019
Alzarri Joseph ,Mumbai Indians,3,87,25,,14.5,8.66,,,10.03,8.0,,,6,1,0,1,0.0,2019
Dhawal Kulkarni,Rajasthan Royals,10,335,77,,55.83,35.0,,,9.57,35.0,,,6,1,0,0,0.0,2019
Ben Stokes,Rajasthan Royals,9,189,31,,31.5,16.83,,,11.22,17.0,,,6,0,0,0,0.0,2019
Jason Behrendorff,Mumbai Indians,5,165,54,,33.0,22.8,,,8.68,19.0,,,5,0,0,0,0.0,2019
Trent Boult,Delhi Capitals,5,163,44,,32.6,22.8,,,8.57,19.0,,,5,0,0,0,0.0,2019
Oshane Thomas,Rajasthan Royals,4,79,22,,15.8,12.0,,,7.9,10.0,,,5,0,0,0,0.0,2019
Murugan Ashwin,Punjab Kings,10,255,59,,51.0,40.8,,,7.5,34.0,,,5,0,0,0,0.0,2019
Washington Sundar,Royal Challengers Bangalore,3,74,21,,18.5,13.5,,,8.22,9.0,,,4,0,0,0,0.0,2019
Dale Steyn,Royal Challengers Bangalore,2,69,20,,17.25,12.0,,,8.62,8.0,,,4,0,0,0,0.0,2019
Ish Sodhi,Rajasthan Royals,2,67,15,,16.75,10.75,,,9.34,7.0,,,4,1,0,0,0.0,2019
Prasidh Krishna,Kolkata Knight Riders,11,377,95,,94.25,60.5,,,9.34,40.0,,,4,0,0,0,0.0,2019
Kuldeep Yadav,Kolkata Knight Riders,9,286,54,,71.5,49.5,,,8.66,33.0,,,4,0,0,0,0.0,2019
Mitchell Santner,Chennai Super Kings,4,94,37,,23.5,21.0,,,6.71,14.0,,,4,0,0,0,0.0,2019
Varun Aaron,Rajasthan Royals,5,116,28,,29.0,18.0,,,9.66,12.0,,,4,1,0,0,0.0,2019
Mujeeb Ur Rahman,Punjab Kings,5,191,37,,63.66,38.0,,,10.05,19.0,,,3,0,0,0,0.0,2019
Arshdeep Singh,Punjab Kings,3,109,20,,36.33,20.0,,,10.9,10.0,,,3,0,0,0,0.0,2019
Nitish Rana,Kolkata Knight Riders,14,72,15,,24.0,16.0,,,9.0,8.0,,,3,0,0,0,0.0,2019
Ankit Rajpoot,Punjab Kings,4,152,35,,50.66,32.0,,,9.5,16.0,,,3,0,0,0,0.0,2019
Pawan Negi,Royal Challengers Bangalore,7,102,25,,34.0,22.33,,,9.13,11.0,,,3,0,0,0,0.0,2019
Andrew Tye,Punjab Kings,6,233,30,,77.66,44.0,,,10.59,22.0,,,3,0,0,0,0.0,2019
Mitchell McClenaghan,Mumbai Indians,5,142,45,,47.33,36.0,,,7.88,18.0,,,3,1,0,0,0.0,2019
Shakib Al Hasan,Sunrisers Hyderabad,3,95,22,,47.5,32.5,,,8.76,11.0,,,2,0,0,0,0.0,2019
Shahbaz Nadeem,Sunrisers Hyderabad,3,90,10,,45.0,27.0,,,10.0,9.0,,,2,0,0,0,0.0,2019
Scott Kuggeleijn,Chennai Super Kings,2,71,17,,35.5,24.0,,,8.87,8.0,,,2,0,0,0,0.0,2019
Sandeep Warrier,Kolkata Knight Riders,3,85,30,,42.5,36.0,,,7.08,12.0,,,2,0,0,0,0.0,2019
Marcus Stoinis,Royal Challengers Bangalore,10,145,32,,72.5,50.0,,,8.7,16.0,,,2,0,0,0,0.0,2019
Riyan Parag,Rajasthan Royals,7,121,18,,60.5,42.0,,,8.64,14.0,,,2,0,0,0,0.0,2019
Harshal Patel,Delhi Capitals,2,77,15,,38.5,24.0,,,9.62,8.0,,,2,0,0,0,0.0,2019
Rahul Tewatia,Delhi Capitals,5,42,19,,21.0,19.0,,,6.63,6.0,,,2,0,0,0,0.0,2019
Jagadeesha Suchith,Delhi Capitals,1,28,11,,14.0,12.0,,,7.0,4.0,,,2,0,0,0,0.0,2019
Lockie Ferguson,Kolkata Knight Riders,5,183,30,,91.5,51.0,,,10.76,17.0,,,2,0,0,0,0.0,2019
Abhishek Sharma,Sunrisers Hyderabad,3,21,1,,21.0,12.0,,,10.5,2.0,,,1,0,0,0,0.0,2019
Deepak Hooda,Sunrisers Hyderabad,11,21,1,,21.0,12.0,,,10.5,2.0,,,1,0,0,0,0.0,2019
Vijay Shankar,Sunrisers Hyderabad,15,70,14,,70.0,48.0,,,8.75,8.0,,,1,0,0,0,0.0,2019
Varun Chakaravarthy,Punjab Kings,1,35,8,,35.0,18.0,,,11.66,3.0,,,1,0,0,0,0.0,2019
Mayank Markande,Mumbai Indians,3,59,11,,59.0,36.0,,,9.83,6.0,,,1,0,0,0,0.0,2019
Kulwant Khejroliya,Royal Challengers Bangalore,2,47,10,,47.0,30.0,,,9.4,5.0,,,1,0,0,0,0.0,2019
Krishnappa Gowtham,Rajasthan Royals,7,166,38,,166.0,120.0,,,8.3,20.0,,,1,0,0,0,0.0,2019
Tim Southee,Royal Challengers Bangalore,3,118,19,,118.0,54.0,,,13.11,9.0,,,1,0,0,0,0.0,2019
Karn Sharma,Chennai Super Kings,1,33,4,,33.0,17.0,,,11.64,3.0,,,1,0,0,0,0.0,2019
Stuart Binny,Rajasthan Royals,8,44,13,,44.0,42.0,,,6.28,7.0,,,1,0,0,0,0.0,2019
Anukul Roy,Mumbai Indians,1,11,4,,11.0,12.0,,,5.5,2.0,,,1,0,0,0,0.0,2019
Mohit Sharma,Chennai Super Kings,1,27,8,,27.0,18.0,,,9.0,3.0,,,1,0,0,0,0.0,2019
Sherfane Rutherford,Delhi Capitals,7,59,8,,59.0,41.0,,,8.63,7.0,,,1,0,0,0,0.0,2019
Ben Cutting,Mumbai Indians,3,27,2,,27.0,12.0,,,13.5,2.0,,,1,0,0,0,0.0,2019
Jayant Yadav,Mumbai Indians,2,50,17,,50.0,42.0,,,7.14,7.0,,,1,0,0,0,0.0,2019
Prithvi Raj Yarra,Kolkata Knight Riders,2,57,8,,57.0,30.0,,,11.4,5.0,,,1,0,0,0,0.0,2019
Kagiso Rabada,Delhi Capitals,17,548,156,,18.26,13.13,,,8.34,65.0,,,30,1,2,0,0.0,2020
Jasprit Bumrah,Mumbai Indians,15,404,175,,14.96,13.33,,,6.73,60.0,,,27,2,2,0,0.0,2020
Trent Boult,Mumbai Indians,15,457,157,,18.28,13.76,,,7.97,57.0,,,25,3,1,0,0.0,2020
Anrich Nortje,Delhi Capitals,16,512,160,,23.27,16.63,,,8.39,61.0,,,22,0,0,0,0.0,2020
Yuzvendra Chahal,Royal Challengers Bangalore,15,405,118,,19.28,16.33,,,7.08,57.0,,,21,0,0,0,0.0,2020
Mohammad Shami,Punjab Kings,14,460,140,,23.0,16.1,,,8.57,53.0,,,20,0,0,0,0.0,2020
Jofra Archer,Mumbai Indians,14,365,175,,18.25,16.7,,,6.55,55.0,,,20,0,0,0,0.0,2020
Rashid Khan,Sunrisers Hyderabad,16,344,168,,17.2,19.2,,,5.37,64.0,,,20,1,0,0,0.0,2020
Varun Chakaravarthy,Kolkata Knight Riders,13,356,111,,20.94,18.35,,,6.84,52.0,,,17,0,0,1,0.0,2020
T Natarajan,Sunrisers Hyderabad,16,504,136,,31.5,23.56,,,8.02,63.0,,,16,1,0,0,0.0,2020
Rahul Chahar,Mumbai Indians,15,433,104,,28.86,21.2,,,8.16,53.0,,,15,0,0,0,0.0,2020
Jason Holder,Sunrisers Hyderabad,7,233,58,,16.64,12.0,,,8.32,28.0,,,14,0,0,0,0.0,2020
Sandeep Sharma,Sunrisers Hyderabad,13,374,119,,26.71,22.28,,,7.19,52.0,,,14,0,0,0,0.0,2020
Marcus Stoinis,Delhi Capitals,17,283,50,,21.76,13.69,,,9.53,29.0,,,13,0,0,0,0.0,2020
Ravichandran Ashwin,Delhi Capitals,15,391,101,,30.07,23.53,,,7.66,51.0,,,13,0,0,0,0.0,2020
Sam Curran,Chennai Super Kings,14,344,91,,26.46,19.38,,,8.19,42.0,,,13,0,0,0,0.0,2020
Pat Cummins,Kolkata Knight Riders,14,409,140,,34.08,26.0,,,7.86,52.0,,,12,0,1,0,0.0,2020
Ravi Bishnoi,Punjab Kings,14,376,122,,31.33,25.5,,,7.37,51.0,,,12,1,0,0,0.0,2020
Deepak Chahar,Chennai Super Kings,14,396,118,,33.0,26.0,,,7.61,52.0,,,12,2,0,0,0.0,2020
Mohammed Siraj,Royal Challengers Bangalore,9,236,77,,21.45,14.81,,,8.68,27.0,,,11,2,0,0,0.0,2020
James Pattinson,Mumbai Indians,10,320,78,,29.09,19.36,,,9.01,35.0,,,11,0,0,0,0.0,2020
Chris Morris,Royal Challengers Bangalore,9,210,91,,19.09,17.27,,,6.63,31.0,,,11,1,1,0,0.0,2020
Shreyas Gopal,Rajasthan Royals,14,427,86,,42.7,30.0,,,8.54,50.0,,,10,0,0,0,0.0,2020
Murugan Ashwin,Punjab Kings,9,235,70,,23.5,18.9,,,7.46,31.0,,,10,0,0,0,0.0,2020
Shardul Thakur,Chennai Super Kings,9,275,68,,27.5,19.4,,,8.5,32.0,,,10,0,0,0,0.0,2020
Rahul Tewatia,Rajasthan Royals,14,326,95,,32.6,27.6,,,7.08,46.0,,,10,0,0,0,0.0,2020
Lungi Ngidi ,Chennai Super Kings,4,167,35,,18.55,10.66,,,10.43,16.0,,,9,0,0,0,0.0,2020
Kartik Tyagi,Rajasthan Royals,10,367,83,,40.77,25.44,,,9.61,38.0,,,9,0,0,0,0.0,2020
Arshdeep Singh,Punjab Kings,8,218,56,,24.22,16.55,,,8.77,25.0,,,9,1,0,0,0.0,2020
Axar Patel,Delhi Capitals,15,327,100,,36.33,34.0,,,6.41,51.0,,,9,0,0,0,0.0,2020
Shivam Mavi,Kolkata Knight Riders,8,212,63,,23.55,17.33,,,8.15,26.0,,,9,2,0,0,0.0,2020
Chris Jordan,Punjab Kings,9,304,62,,33.77,21.0,,,9.65,31.0,,,9,0,0,0,0.0,2020
Khaleel Ahmed,Sunrisers Hyderabad,7,242,62,,30.25,19.25,,,9.42,25.0,,,8,0,0,0,0.0,2020
Isuru Udana,Royal Challengers Bangalore,10,282,49,,35.25,21.75,,,9.72,29.0,,,8,0,0,0,0.0,2020
Washington Sundar,Royal Challengers Bangalore,15,298,114,,37.25,37.5,,,5.96,50.0,,,8,1,0,0,0.0,2020
Piyush Chawla,Chennai Super Kings,7,191,37,,31.83,21.0,,,9.09,21.0,,,6,0,0,0,0.0,2020
Navdeep Saini,Royal Challengers Bangalore,13,379,116,,63.16,45.66,,,8.29,45.0,,,6,1,0,0,0.0,2020
Sheldon Cottrell,Punjab Kings,6,176,59,,29.33,20.0,,,8.8,20.0,,,6,1,0,0,0.0,2020
Lockie Ferguson,Kolkata Knight Riders,5,148,48,,24.66,19.83,,,7.46,20.0,,,6,0,0,0,0.0,2020
Ravindra Jadeja,Chennai Super Kings,14,318,56,,53.0,36.33,,,8.75,36.0,,,6,0,0,0,0.0,2020
Krunal Pandya,Mumbai Indians,16,380,100,,63.33,50.16,,,7.57,50.0,,,6,0,0,0,0.0,2020
Dwayne Bravo,Chennai Super Kings,6,180,35,,30.0,21.0,,,8.57,21.0,,,6,0,0,0,0.0,2020
Andre Russell,Kolkata Knight Riders,10,175,39,,29.16,18.0,,,9.72,18.0,,,6,0,0,0,0.0,2020
Shahbaz Nadeem,Sunrisers Hyderabad,7,178,31,,35.6,26.4,,,8.09,22.0,,,5,0,0,0,0.0,2020
Nathan Coulter-Nile,Mumbai Indians,7,206,69,,41.2,31.2,,,7.92,26.0,,,5,0,0,0,0.0,2020
Karn Sharma,Chennai Super Kings,5,165,27,,33.0,22.8,,,8.68,19.0,,,5,0,0,0,0.0,2020
Kamlesh Nagarkoti,Kolkata Knight Riders,10,231,46,,46.2,31.2,,,8.88,26.0,,,5,0,0,0,0.0,2020
Sunil Narine,Kolkata Knight Riders,10,302,67,,60.4,45.6,,,7.94,38.0,,,5,0,0,0,0.0,2020
Vijay Shankar,Sunrisers Hyderabad,7,82,31,,20.5,19.75,,,6.22,13.0,,,4,0,0,0,0.0,2020
Shivam Dube,Royal Challengers Bangalore,11,73,14,,18.25,13.5,,,8.11,9.0,,,4,0,0,0,0.0,2020
