Player Name,Team Name,Price,Year,Price_Cr
C.Hari Nishaanth,Chennai Super Kings,0.2,2022,0.2
K.Bhagath Varma,Chennai Super Kings,0.2,2022,0.2
K.M. Asif,Chennai Super Kings,0.2,2022,0.2
Mukesh Choudhary,Chennai Super Kings,0.2,2022,0.2
N. Jagadeesan,Chennai Super Kings,0.2,2022,0.2
Simarjeet Singh,Chennai Super Kings,0.2,2022,0.2
Subhranshu Senapati,Chennai Super Kings,0.2,2022,0.2
Tushar Deshpande,Chennai Super Kings,0.2,2022,0.2
Shardul Thakur,Delhi Capitals,10.75,2022,10.75
Mitchell Marsh,Delhi Capitals,6.5,2022,6.5
David Warner,Delhi Capitals,6.25,2022,6.25
Syed Khaleel Ahmed,Delhi Capitals,5.25,2022,5.25
Chetan Sakariya,Delhi Capitals,4.2,2022,4.2
Rovman Powell,Delhi Capitals,2.8,2022,2.8
K.S. Bharat,Delhi Capitals,2.0,2022,2.0
Kuldeep Yadav,Delhi Capitals,2.0,2022,2.0
Mustafizur Rahman,Delhi Capitals,2.0,2022,2.0
Kamlesh Nagarkoti,Delhi Capitals,1.1,2022,1.1
Mandeep Singh,Delhi Capitals,1.1,2022,1.1
Lalit Yadav,Delhi Capitals,0.65,2022,0.65
Lungisani Ngidi,Delhi Capitals,0.5,2022,0.5
Pravin Dubey,Delhi Capitals,0.5,2022,0.5
Tim Seifert,Delhi Capitals,0.5,2022,0.5
Yash Dhull,Delhi Capitals,0.5,2022,0.5
Ashwin Hebbar,Delhi Capitals,0.2,2022,0.2
Ripal Patel,Delhi Capitals,0.2,2022,0.2
Sarfaraz Khan,Delhi Capitals,0.2,2022,0.2
Vicky Ostwal,Delhi Capitals,0.2,2022,0.2
Lockie Ferguson,Gujarat Titans,10.0,2022,10.0
Rahul Tewatia,Gujarat Titans,9.0,2022,9.0
Mohammad Shami,Gujarat Titans,6.25,2022,6.25
Yash Dayal,Gujarat Titans,3.2,2022,3.2
David Miller,Gujarat Titans,3.0,2022,3.0
R. Sai Kishore,Gujarat Titans,3.0,2022,3.0
Abhinav Sadarangani,Gujarat Titans,2.6,2022,2.6
Alzarri Joseph,Gujarat Titans,2.4,2022,2.4
Matthew Wade,Gujarat Titans,2.4,2022,2.4
Jason Roy,Gujarat Titans,2.0,2022,2.0
Wriddhiman Saha,Gujarat Titans,1.9,2022,1.9
Jayant Yadav,Gujarat Titans,1.7,2022,1.7
Vijay Shankar,Gujarat Titans,1.4,2022,1.4
Dominic Drakes,Gujarat Titans,1.1,2022,1.1
Gurkeerat Singh,Gujarat Titans,0.5,2022,0.5
Varun Aaron,Gujarat Titans,0.5,2022,0.5
Noor Ahmad,Gujarat Titans,0.3,2022,0.3
B. Sai Sudharsan,Gujarat Titans,0.2,2022,0.2
Darshan Nalkande,Gujarat Titans,0.2,2022,0.2
Pradeep Sangwan,Gujarat Titans,0.2,2022,0.2
Shreyas Iyer,Kolkata Knight Riders,12.25,2022,12.25
Nitish Rana,Kolkata Knight Riders,8.0,2022,8.0
Pat Cummins,Kolkata Knight Riders,7.25,2022,7.25
Shivam Mavi,Kolkata Knight Riders,7.25,2022,7.25
Sam Billings,Kolkata Knight Riders,2.0,2022,2.0
Umesh Yadav,Kolkata Knight Riders,2.0,2022,2.0
Alex Hales,Kolkata Knight Riders,1.5,2022,1.5
Tim Southee,Kolkata Knight Riders,1.5,2022,1.5
Ajinkya Rahane,Kolkata Knight Riders,1.0,2022,1.0
Mohammad Nabi,Kolkata Knight Riders,1.0,2022,1.0
Sheldon Jackson,Kolkata Knight Riders,0.6,2022,0.6
Ashok Sharma,Kolkata Knight Riders,0.55,2022,0.55
Rinku Singh,Kolkata Knight Riders,0.55,2022,0.55
Chamika Karunaratne,Kolkata Knight Riders,0.5,2022,0.5
Abhijeet Tomar,Kolkata Knight Riders,0.4,2022,0.4
Aman Khan,Kolkata Knight Riders,0.2,2022,0.2
Anukul Roy,Kolkata Knight Riders,0.2,2022,0.2
Baba Indrajith,Kolkata Knight Riders,0.2,2022,0.2
Pratham Singh,Kolkata Knight Riders,0.2,2022,0.2
Ramesh Kumar,Kolkata Knight Riders,0.2,2022,0.2
Rasikh Dar,Kolkata Knight Riders,0.2,2022,0.2
Avesh Khan,Lucknow Supergiants,10.0,2022,10.0
Jason Holder,Lucknow Supergiants,8.75,2022,8.75
Krunal Pandya,Lucknow Supergiants,8.25,2022,8.25
Mark Wood,Lucknow Supergiants,7.5,2022,7.5
Quinton De Kock,Lucknow Supergiants,6.75,2022,6.75
Deepak Hooda,Lucknow Supergiants,5.75,2022,5.75
Manish Pandey,Lucknow Supergiants,4.6,2022,4.6
Dushmanta Chameera,Lucknow Supergiants,2.0,2022,2.0
Evin Lewis,Lucknow Supergiants,2.0,2022,2.0
K. Gowtham,Lucknow Supergiants,0.9,2022,0.9
Ankit Singh Rajpoot,Lucknow Supergiants,0.5,2022,0.5
Kyle Mayers,Lucknow Supergiants,0.5,2022,0.5
Shahbaz Nadeem,Lucknow Supergiants,0.5,2022,0.5
Ayush Badoni,Lucknow Supergiants,0.2,2022,0.2
Karan Sharma,Lucknow Supergiants,0.2,2022,0.2
Manan Vohra,Lucknow Supergiants,0.2,2022,0.2
Mayank Yadav,Lucknow Supergiants,0.2,2022,0.2
Mohsin Khan,Lucknow Supergiants,0.2,2022,0.2
Ishan Kishan,Mumbai Indians,15.25,2022,15.25
Tim David,Mumbai Indians,8.25,2022,8.25
Jofra Archer,Mumbai Indians,8.0,2022,8.0
Dewald Brevis,Mumbai Indians,3.0,2022,3.0
Daniel Sams,Mumbai Indians,2.6,2022,2.6
N. Tilak Varma,Mumbai Indians,1.7,2022,1.7
Murugan Ashwin,Mumbai Indians,1.6,2022,1.6
Tymal Mills,Mumbai Indians,1.5,2022,1.5
Jaydev Unadkat,Mumbai Indians,1.3,2022,1.3
Riley Meredith,Mumbai Indians,1.0,2022,1.0
Fabian Allen,Mumbai Indians,0.75,2022,0.75
Mayank Markande,Mumbai Indians,0.65,2022,0.65
Sanjay Yadav,Mumbai Indians,0.5,2022,0.5
Arjun Tendulkar,Mumbai Indians,0.3,2022,0.3
Basil Thampi,Mumbai Indians,0.3,2022,0.3
Anmolpreet Singh,Mumbai Indians,0.2,2022,0.2
Aryan Juyal,Mumbai Indians,0.2,2022,0.2
Hrithik Shokeen,Mumbai Indians,0.2,2022,0.2
Mohd. Arshad Khan,Mumbai Indians,0.2,2022,0.2
Rahul Buddhi,Mumbai Indians,0.2,2022,0.2
Ramandeep Singh,Mumbai Indians,0.2,2022,0.2
Liam Livingstone,Punjab Kings,11.5,2022,11.5
Kagiso Rabada,Punjab Kings,9.25,2022,9.25
Shahrukh Khan,Punjab Kings,9.0,2022,9.0
Shikhar Dhawan,Punjab Kings,8.25,2022,8.25
Jonny Bairstow,Punjab Kings,6.75,2022,6.75
Odean Smith,Punjab Kings,6.0,2022,6.0
Rahul Chahar,Punjab Kings,5.25,2022,5.25
Harpreet Brar,Punjab Kings,3.8,2022,3.8
Raj Angad Bawa,Punjab Kings,2.0,2022,2.0
Vaibhav Arora,Punjab Kings,2.0,2022,2.0
Nathan Ellis,Punjab Kings,0.75,2022,0.75
Prabhsimran Singh,Punjab Kings,0.6,2022,0.6
Rishi Dhawan,Punjab Kings,0.55,2022,0.55
Bhanuka Rajapaksa,Punjab Kings,0.5,2022,0.5
Sandeep Sharma,Punjab Kings,0.5,2022,0.5
Benny Howell,Punjab Kings,0.4,2022,0.4
Ishan Porel,Punjab Kings,0.25,2022,0.25
Ansh Patel,Punjab Kings,0.2,2022,0.2
Atharva Taide,Punjab Kings,0.2,2022,0.2
Baltej Dhanda,Punjab Kings,0.2,2022,0.2
Jitesh Sharma,Punjab Kings,0.2,2022,0.2
Prerak Mankad,Punjab Kings,0.2,2022,0.2
Writtick Chatterjee,Punjab Kings,0.2,2022,0.2
Prasidh Krishna,Rajasthan Royals,10.0,2022,10.0
Shimron Hetmyer,Rajasthan Royals,8.5,2022,8.5
Trent Boult,Rajasthan Royals,8.0,2022,8.0
Devdutt Padikkal,Rajasthan Royals,7.75,2022,7.75
Yuzvendra Chahal,Rajasthan Royals,6.5,2022,6.5
R. Ashwin,Rajasthan Royals,5.0,2022,5.0
Riyan Parag,Rajasthan Royals,3.8,2022,3.8
Navdeep Saini,Rajasthan Royals,2.6,2022,2.6
