StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Year,ClientPlayerID
Wriddhiman Saha,225,11,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,10,,122,102,,119.6,,,,,,,,,,17,1,17.0,1.0,8,2,15.25,0,0,,35,15.25,,,2018,
Jason Roy,313,5,,,,10010,,,DC,Delhi Capitals,10010,,,5,,120,94,,127.65,,,,,,,,,,9,7,9.0,7.0,4,1,30.0,1,0,,91*,30.0,,,2018,
Mayank Agarwal,55,11,,,,10010,,,PBKS,Punjab Kings,10010,,,11,,120,94,,127.65,,,,,,,,,,9,5,9.0,5.0,10,1,12.0,0,0,,30,12.0,,,2018,
D'Arcy Short,0,7,,,,10010,,,RR,Rajasthan Royals,10010,,,7,,115,99,,116.16,,,,,,,,,,11,5,11.0,5.0,7,0,16.42,0,0,,44,16.42,,,2018,
Sam Billings,103,10,,,,10010,,,CSK,Chennai Super Kings,10010,,,8,,108,78,,138.46,,,,,,,,,,8,5,8.0,5.0,8,0,13.5,1,0,,56,13.5,,,2018,
Ravichandran Ashwin,45,14,,,,10010,,,PBKS,Punjab Kings,10010,,,9,,102,71,,143.66,,,,,,,,,,7,5,7.0,5.0,8,1,12.75,0,0,,45,12.75,,,2018,
Marcus Stoinis,23,7,,,,10010,,,PBKS,Punjab Kings,10010,,,7,,99,76,,130.26,,,,,,,,,,6,4,6.0,4.0,4,3,24.75,0,0,,29*,24.75,,,2018,
Ben Cutting,162,9,,,,10010,,,MI,Mumbai Indians,10010,,,6,,96,58,,165.51,,,,,,,,,,5,8,5.0,8.0,4,2,24.0,0,0,,37,24.0,,,2018,
Ravindra Jadeja,46,16,,,,10010,,,CSK,Chennai Super Kings,10010,,,10,,89,74,,120.27,,,,,,,,,,3,4,3.0,4.0,5,5,17.8,0,0,,27*,17.8,,,2018,
Deepak Hooda,215,9,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,8,,87,81,,107.4,,,,,,,,,,2,3,2.0,3.0,4,4,21.75,0,0,,32*,21.75,,,2018,
